  code   ,rgb             ,hex    ,name
  10219 C,"rgb(90,45,138)  ",#5A2D8A,    
  10220 C,"rgb(156,148,171)",#9C94AB,    
  10221 C,"rgb(147,135,167)",#9387A7,    
  10222 C,"rgb(139,124,164)",#8B7CA4,    
  10223 C,"rgb(131,111,160)",#836FA0,    
  10224 C,"rgb(122,99,156) ",#7A639C,    
  10225 C,"rgb(114,88,153) ",#725899,    
  10226 C,"rgb(150,147,170)",#9693AA,    
  10227 C,"rgb(142,137,168)",#8E89A8,    
  10228 C,"rgb(132,126,165)",#847EA5,    
  10229 C,"rgb(121,114,161)",#7972A1,    
  10230 C,"rgb(111,101,156)",#6F659C,    
  10231 C,"rgb(101,90,154) ",#655A9A,    
  10232 C,"rgb(132,130,163)",#8482A3,    
  10233 C,"rgb(118,115,157)",#76739D,    
  10234 C,"rgb(105,100,150)",#696496,    
  10235 C,"rgb(93,86,142)  ",#5D568E,    
  10236 C,"rgb(81,72,135)  ",#514887,    
  10237 C,"rgb(85,77,138)  ",#554D8A,    
  10238 C,"rgb(135,137,169)",#8789A9,    
  10239 C,"rgb(122,125,168)",#7A7DA8,    
  10240 C,"rgb(108,110,164)",#6C6EA4,    
  10241 C,"rgb(94,96,160)  ",#5E60A0,    
  10242 C,"rgb(81,82,156)  ",#51529C,    
  10243 C,"rgb(70,69,152)  ",#464598,    
  10244 C,"rgb(111,134,169)",#6F86A9,    
  10245 C,"rgb(92,120,167) ",#5C78A7,    
  10246 C,"rgb(74,106,163) ",#4A6AA3,    
  10247 C,"rgb(58,93,158)  ",#3A5D9E,    
  10248 C,"rgb(44,79,153)  ",#2C4F99,    
  10249 C,"rgb(30,66,148)  ",#1E4294,    
  10250 C,"rgb(145,156,172)",#919CAC,    
  10251 C,"rgb(129,144,171)",#8190AB,    
  10252 C,"rgb(113,133,170)",#7185AA,    
  10253 C,"rgb(98,121,167) ",#6279A7,    
  10254 C,"rgb(83,108,164) ",#536CA4,    
  10255 C,"rgb(68,96,162)  ",#4460A2,    
  10256 C,"rgb(125,148,172)",#7D94AC,    
  10257 C,"rgb(109,138,171)",#6D8AAB,    
  10258 C,"rgb(92,128,169) ",#5C80A9,    
  10259 C,"rgb(75,117,167) ",#4B75A7,    
  10260 C,"rgb(58,106,166) ",#3A6AA6,    
  10261 C,"rgb(39,94,163)  ",#275EA3,    
  10262 C,"rgb(140,154,163)",#8C9AA3,    
  10263 C,"rgb(118,139,153)",#768B99,    
  10264 C,"rgb(100,126,144)",#647E90,    
  10265 C,"rgb(83,115,134) ",#537386,    
  10266 C,"rgb(67,102,124) ",#43667C,    
  10267 C,"rgb(52,90,113)  ",#345A71,    
  10268 C,"rgb(117,153,174)",#7599AE,    
  10269 C,"rgb(95,144,173) ",#5F90AD,    
  10270 C,"rgb(75,136,172) ",#4B88AC,    
  10271 C,"rgb(50,127,170) ",#327FAA,    
  10272 C,"rgb(14,118,170) ",#0E76AA,    
  10273 C,"rgb(0,108,170)  ",#006CAA,    
  10274 C,"rgb(116,159,174)",#749FAE,    
  10275 C,"rgb(93,153,174) ",#5D99AE,    
  10276 C,"rgb(70,148,175) ",#4694AF,    
  10277 C,"rgb(33,142,174) ",#218EAE,    
  10278 C,"rgb(0,136,175)  ",#0088AF,    
  10279 C,"rgb(0,131,177)  ",#0083B1,    
  10280 C,"rgb(125,159,165)",#7D9FA5,    
  10281 C,"rgb(105,152,160)",#6998A0,    
  10282 C,"rgb(83,144,154) ",#53909A,    
  10283 C,"rgb(60,137,149) ",#3C8995,    
  10284 C,"rgb(27,129,143) ",#1B818F,    
  10285 C,"rgb(0,121,137)  ",#007989,    
  10286 C,"rgb(122,164,167)",#7AA4A7,    
  10287 C,"rgb(101,160,165)",#65A0A5,    
  10288 C,"rgb(76,156,162) ",#4C9CA2,    
  10289 C,"rgb(43,153,158) ",#2B999E,    
  10290 C,"rgb(0,148,154)  ",#00949A,    
  10291 C,"rgb(0,145,150)  ",#009196,    
  10292 C,"rgb(127,169,164)",#7FA9A4,    
  10293 C,"rgb(109,167,159)",#6DA79F,    
  10294 C,"rgb(87,164,153) ",#57A499,    
  10295 C,"rgb(59,162,147) ",#3BA293,    
  10296 C,"rgb(0,160,141)  ",#00A08D,    
  10297 C,"rgb(0,158,135)  ",#009E87,    
  10298 C,"rgb(134,163,138)",#86A38A,    
  10299 C,"rgb(119,158,124)",#779E7C,    
